,source,target,weight
0,0,2,1.0
1,0,6,1.0
2,0,7,1.0
3,0,9,1.0
4,0,20,1.0
5,1,9,1.0
6,1,10,1.0
7,1,19,1.0
8,1,25,1.0
9,1,7,1.0
10,1,17,1.0
11,1,20,1.0
12,1,21,1.0
13,2,6,1.0
14,2,9,1.0
15,2,11,1.0
16,2,12,1.0
17,2,14,1.0
18,2,4,1.0
19,2,7,1.0
20,2,20,1.0
21,2,25,1.0
22,3,7,1.0
23,3,12,1.0
24,3,13,1.0
25,3,17,1.0
26,3,22,1.0
27,3,25,1.0
28,4,13,1.0
29,4,17,1.0
30,4,24,1.0
31,4,25,1.0
32,4,7,1.0
33,5,10,1.0
34,5,14,1.0
35,5,20,1.0
36,5,17,1.0
37,5,21,1.0
38,5,23,1.0
39,5,25,1.0
40,6,9,1.0
41,6,11,1.0
42,6,17,1.0
43,7,9,1.0
44,7,11,1.0
45,7,14,1.0
46,7,17,1.0
47,7,22,1.0
48,7,25,1.0
49,7,18,1.0
50,7,19,1.0
51,7,21,1.0
52,7,23,1.0
53,8,15,1.0
54,8,21,1.0
55,8,23,1.0
56,9,11,1.0
57,9,14,1.0
58,9,16,1.0
59,9,17,1.0
60,9,20,1.0
61,9,25,1.0
62,10,14,1.0
63,10,20,1.0
64,10,17,1.0
65,10,19,1.0
66,10,23,1.0
67,11,12,1.0
68,11,13,1.0
69,11,22,1.0
70,11,14,1.0
71,11,20,1.0
72,12,17,1.0
73,12,22,1.0
74,12,24,1.0
75,12,25,1.0
76,12,13,1.0
77,13,15,1.0
78,13,17,1.0
79,13,22,1.0
80,13,24,1.0
81,13,25,1.0
82,14,17,1.0
83,14,20,1.0
84,14,21,1.0
85,15,24,1.0
86,16,21,1.0
87,17,22,1.0
88,17,25,1.0
89,18,21,1.0
90,19,21,1.0
91,21,23,1.0
92,22,25,1.0
93,24,25,1.0
